"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanel.css", "CSS", 0, 0, 0, 0, -1, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanel.js", "JavaScript", 0, -1, 0, 0, 0, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 0, 3, 0, 0, 1, 4
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\maskCircle.css", "CSS", 17, 0, 0, 0, 2, 19
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\maskCircle.js", "JavaScript", 0, 163, 0, 6, 24, 193
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloth.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\cloud.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\love.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\mask\qq.svg", "XML", 0, 0, 1, 0, 0, 1
"Total", "-", 17, 165, 4, 6, 26, 218
