"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 36, 0, 0, 4, 2, 42
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\collector.css", "CSS", 0, 20, 0, 0, 2, 22
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\collector.js", "JavaScript", 233, 0, 0, 12, 26, 271
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\tagCircle.js", "JavaScript", 143, 0, 0, 7, 17, 167
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\GlobalStore.js", "JavaScript", 11, 0, 0, 0, 1, 12
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\cha.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\gou.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\recorder.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\stop.svg", "XML", 0, 0, 1, 0, 0, 1
"Total", "-", 423, 20, 4, 23, 48, 518
