"filename", "language", "XML", "Python", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\backend.iml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\inspectionProfiles\Project_Default.xml", "XML", 715, 0, 0, 0, 0, 0, 0, 715
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\inspectionProfiles\profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\misc.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\flask_backend.py", "Python", 0, 84, 0, 0, 0, 159, 23, 266
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\image-segmentation\config.json", "JSON", 0, 0, 372, 0, 0, 0, 1, 373
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\image-segmentation\preprocessor_config.json", "JSON", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.css", "CSS", 0, 0, 0, 0, -29, 0, -5, -34
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.js", "JavaScript", 0, 0, 0, -134, 0, -39, -9, -182
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.test.js", "JavaScript", 0, 0, 0, -7, 0, 0, -2, -9
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\api.js", "JavaScript", 0, 0, 0, -22, 0, -3, -5, -30
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\camera.svg", "XML", -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\share.css", "CSS", 0, 0, 0, 0, -4, 0, 0, -4
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.css", "CSS", 0, 0, 0, 0, -21, 0, -2, -23
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.js", "JavaScript", 0, 0, 0, -71, 0, -31, -8, -110
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanel.js", "JavaScript", 0, 0, 0, -151, 0, -7, -22, -180
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanelVideo.js", "JavaScript", 0, 0, 0, -193, 0, -9, -29, -231
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.css", "CSS", 0, 0, 0, 0, -45, 0, -5, -50
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.js", "JavaScript", 0, 0, 0, -1225, 0, -34, -133, -1392
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.css", "CSS", 0, 0, 0, 0, -20, 0, -2, -22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.js", "JavaScript", 0, 0, 0, -426, 0, -30, -42, -498
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.css", "CSS", 0, 0, 0, 0, -17, 0, -2, -19
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.js", "JavaScript", 0, 0, 0, -215, 0, -7, -24, -246
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.css", "CSS", 0, 0, 0, 0, -63, 0, -9, -72
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.js", "JavaScript", 0, 0, 0, -242, 0, -3, -14, -259
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\share.css", "CSS", 0, 0, 0, 0, -6, 0, 0, -6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\tagCircle.js", "JavaScript", 0, 0, 0, -143, 0, -7, -17, -167
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.css", "CSS", 0, 0, 0, 0, -12, 0, -2, -14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\index.js", "JavaScript", 0, 0, 0, -14, 0, -5, -3, -22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\logo.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\reportWebVitals.js", "JavaScript", 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\setupTests.js", "JavaScript", 0, 0, 0, -1, 0, -4, -1, -6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\GlobalStore.js", "JavaScript", 0, 0, 0, -114, 0, 0, -7, -121
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\index.js", "JavaScript", 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\add_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\audio_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\board_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\cha.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\delete.svg", "XML", -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\eraser.svg", "XML", -24, 0, 0, 0, 0, 0, -1, -25
