"filename", "language", "XML", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\backend.iml", "XML", 10, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\inspectionProfiles\Project_Default.xml", "XML", 715, 0, 0, 0, 0, 715
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\inspectionProfiles\profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\misc.xml", "XML", 7, 0, 0, 0, 0, 7
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\flask_backend.py", "Python", 0, 84, 0, 159, 23, 266
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\image-segmentation\config.json", "JSON", 0, 0, 372, 0, 1, 373
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\backend\image-segmentation\preprocessor_config.json", "JSON", 0, 0, 18, 0, 1, 19
"Total", "-", 752, 84, 390, 159, 25, 1410
